"package","clazz","func","full_signature","internal_signature","location","parameter_types","return_type","doc"
"boa.src","utility","searchCertSerial","static int searchCertSerial(CERTS_DB_ENTRY_Tp all, CERTS_DB_ENTRY_Tp cert, unsigned long serial, int count)","searchCertSerial(CERTS_DB_ENTRY_Tp, CERTS_DB_ENTRY_Tp, unsigned long, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1193:0","CERTS_DB_ENTRY_Tp;CERTS_DB_ENTRY_Tp;unsigned long;int","int","[IF 0] "
"boa.src","utility","searchWapiCert","int searchWapiCert(CERTS_DB_ENTRY_Tp cert, int index, char *buffer)","searchWapiCert(CERTS_DB_ENTRY_Tp, int, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1208:0","CERTS_DB_ENTRY_Tp;int;char","int","[IF 0] "
"boa.src","utility","setWlJoinMesh","int setWlJoinMesh(char *interface, unsigned char* MeshId, int MeshId_Len, int Channel, int offset, int Reset)","setWlJoinMesh(char, unsigned char*, int, int, int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1297:0","char;unsigned char*;int;int;int;int","int","[IFNDEF NO_ACTION] "
"boa.src","utility","getWlMeshLink","int getWlMeshLink(char *interface, unsigned char* MacAddr, int MacAddr_Len)","getWlMeshLink(char, unsigned char*, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1331:0","char;unsigned char*;int","int","[IFDEF CONFIG_RTK_MESH] "
"boa.src","utility","RunSystemCmd","int RunSystemCmd(char *filepath, ...)","RunSystemCmd(char, ...)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1579:0","char;...","int","[IFDEF SYS_DEBUG] "
"boa.src","utility","setInAddr","int setInAddr(char *interface, ADDR_T type, void *addr)","setInAddr(char, ADDR_T, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1699:0","char;ADDR_T;void","int","[IF 0] //////////////////////////////////////////////////////////////////////////"
"boa.src","utility","deleteDefaultRoute","int deleteDefaultRoute(char *dev, void *route)","deleteDefaultRoute(char, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1775:0","char;void","int","[IF 0] //////////////////////////////////////////////////////////////////////////"
"boa.src","utility","addDefaultRoute","int addDefaultRoute(char *dev, void *route)","addDefaultRoute(char, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1812:0","char;void","int","[IF 0] //////////////////////////////////////////////////////////////////////////"
"boa.src","utility","getWispRptIface","int getWispRptIface(char**pIface,int wlanId)","getWispRptIface(char**pIface, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2071:0","char**pIface;int","int","[IFNDEF NO_ACTION] "
"boa.src","utility","getWanInfo","int getWanInfo(char *pWanIP, char *pWanMask, char *pWanDefIP, char *pWanHWAddr)","getWanInfo(char, char, char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2107:0","char;char;char;char","int","[IFDEF CONFIG_SMART_REPEATER] "
"boa.src","utility","getEthernetEeeState","int getEthernetEeeState(unsigned int port_index)","getEthernetEeeState(unsigned int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2246:0","unsigned int","int","[IF defined(CONFIG_RTL_8198C) || defined(CONFIG_RTL_8196C) || defined(CONFIG_RTL_8198) || defined(CONFIG_RTL_819XD) || defined(CONFIG_RTL_8196E)] RTL8651_IOCTL_GET_ETHER_EEE_STATE"
"boa.src","utility","isVxdInterfaceExist","int isVxdInterfaceExist(char *interface)","isVxdInterfaceExist(char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2287:0","char","int","[IFDEF UNIVERSAL_REPEATER] //////////////////////////////////////////////////////////////////////////"
"boa.src","utility","displayPostDate","int displayPostDate(char *postDate)","displayPostDate(char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2316:0","char","int","[IFNDEF NO_ACTION] "
"boa.src","utility","killDaemon","void killDaemon(int wait)","killDaemon(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2406:0","int","void","[IFNDEF NO_ACTION] static void killDaemon()"
"boa.src","utility","cwmpSendRequestToSolar","void cwmpSendRequestToSolar(void)","cwmpSendRequestToSolar()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2758:0","void","void","[IF 0	// pkshih: within tr104] send the request to solar"
"boa.src","utility","cwmp_solarOpen","void cwmp_solarOpen(void)","cwmp_solarOpen()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2763:0","void","void","[IF 0	// pkshih: within tr104] open the connection from solar to cwmpclient"
